t1;t2;t3;Tavg;h1;h2;h3;Havg;Status
24;24;24;24.00;17;17;17;17.00;Heating
24;24;24;24.00;17;17;17;17.00;Heating
24;24;24;24.00;17;17;17;17.00;Heating
24;24;24;24.00;17;17;17;17.00;Heating
24;24;24;24.00;17;17;17;17.00;Heating
24;25;24;24.33;17;17;17;17.00;Heating
24;25;24;24.33;17;17;17;17.00;Heating
25;25;25;25.00;17;17;17;17.00;Heating
25;25;25;25.00;17;17;17;17.00;Heating
25;25;25;25.00;17;17;17;17.00;Heating
25;25;25;25.00;17;17;17;17.00;Heating
25;25;26;25.33;17;17;17;17.00;Heating
25;25;26;25.33;17;17;17;17.00;Heating
25;26;26;25.67;17;17;17;17.00;Heating
26;26;26;26.00;17;17;17;17.00;Heating
26;26;27;26.33;17;17;17;17.00;Heating
27;27;27;27.00;17;17;17;17.00;Heating
27;27;27;27.00;17;17;17;17.00;Heating
27;27;27;27.00;17;17;17;17.00;Heating
27;27;27;27.00;17;17;17;17.00;Heating
27;27;28;27.33;17;17;16;16.67;Heating
27;27;28;27.33;17;17;16;16.67;Heating
27;27;28;27.33;17;17;16;16.67;Heating
28;28;28;28.00;16;16;16;16.00;Heating
28;28;28;28.00;16;16;16;16.00;Heating
28;28;29;28.33;16;16;16;16.00;Heating
28;28;29;28.33;16;16;16;16.00;Heating
28;28;29;28.33;16;16;16;16.00;Heating
28;28;29;28.33;16;16;16;16.00;Heating
28;28;29;28.33;16;16;16;16.00;Heating
28;28;30;28.67;16;16;15;15.67;Heating
29;28;30;29.00;16;16;15;15.67;Heating
29;29;30;29.33;16;16;15;15.67;Heating
29;29;30;29.33;16;16;15;15.67;Heating
29;29;31;29.67;16;16;15;15.67;Heating
29;29;31;29.67;16;16;15;15.67;Heating
29;29;31;29.67;16;16;15;15.67;Heating
30;30;31;30.33;15;15;15;15.00;Heating
30;30;32;30.67;15;15;15;15.00;Heating
30;30;32;30.67;15;15;15;15.00;Heating
30;30;32;30.67;15;15;15;15.00;Heating
31;30;32;31.00;15;15;15;15.00;Heating
31;31;33;31.67;15;15;14;14.67;Heating
31;31;33;31.67;15;15;14;14.67;Heating
31;31;33;31.67;15;15;14;14.67;Heating
