t1;t2;t3;Tavg;h1;h2;h3;Havg;Status
24;24;24;24.00;32;33;33;32.67;Heating
24;24;24;24.00;32;33;33;32.67;Heating
24;24;24;24.00;32;33;33;32.67;Heating
24;24;24;24.00;32;33;33;32.67;Heating
24;24;24;24.00;32;33;33;32.67;Heating
24;24;24;24.00;32;33;33;32.67;Heating
24;24;24;24.00;32;33;33;32.67;Heating
24;24;24;24.00;32;33;33;32.67;Heating
24;24;24;24.00;32;33;33;32.67;Heating
24;24;24;24.00;32;33;33;32.67;Heating
24;24;24;24.00;32;33;33;32.67;Heating
24;24;24;24.00;32;33;33;32.67;Heating
24;24;24;24.00;32;33;33;32.67;Heating
24;24;24;24.00;32;33;32;32.33;Heating
24;24;24;24.00;32;33;32;32.33;Heating
24;24;25;24.33;32;33;32;32.33;Heating
24;24;25;24.33;32;33;32;32.33;Heating
24;24;25;24.33;32;33;32;32.33;Heating
24;25;25;24.67;32;33;32;32.33;Heating
25;25;26;25.33;32;33;32;32.33;Heating
25;25;26;25.33;31;33;31;31.67;Heating
25;25;26;25.33;31;33;31;31.67;Heating
25;25;26;25.33;31;32;31;31.33;Heating
25;25;27;25.67;31;32;31;31.33;Heating
26;26;27;26.33;31;32;31;31.33;Heating
26;26;27;26.33;31;32;30;31.00;Heating
26;26;27;26.33;31;32;30;31.00;Heating
26;26;28;26.67;31;32;29;30.67;Heating
26;26;28;26.67;31;32;29;30.67;Heating
27;26;28;27.00;30;32;28;30.00;Heating
27;27;28;27.33;30;32;28;30.00;Heating
27;27;28;27.33;30;32;28;30.00;Heating
27;27;29;27.67;30;32;28;30.00;Heating
28;27;29;28.00;29;31;28;29.33;Heating
28;27;29;28.00;29;31;27;29.00;Heating
28;28;29;28.33;28;30;27;28.33;Heating
28;28;30;28.67;28;30;26;28.00;Heating
28;28;30;28.67;28;30;25;27.67;Heating
28;28;30;28.67;28;30;25;27.67;Heating
28;28;31;29.00;28;30;25;27.67;Heating
29;28;31;29.33;28;29;24;27.00;Heating
29;29;31;29.67;28;29;24;27.00;Heating
