test;Kp;Ki;t1;t2;t3;Tavg;h1;h2;h3;Havg;PID_raw;PWM
1;25.00;0.20;24;24;23;23.67;39;39;40;39.33;291.42;255
1;25.00;0.20;24;24;23;23.67;39;39;40;39.33;291.42;255
1;25.00;0.20;24;24;23;23.67;39;39;40;39.33;291.42;255
1;25.00;0.20;24;24;23;23.67;39;39;40;39.33;291.42;255
1;25.00;0.20;24;24;23;23.67;39;39;40;39.33;291.42;255
1;25.00;0.20;24;24;23;23.67;39;39;40;39.33;291.42;255
1;25.00;0.20;24;24;23;23.67;39;39;40;39.33;291.42;255
1;25.00;0.20;24;24;23;23.67;39;39;40;39.33;291.42;255
1;25.00;0.20;24;24;23;23.67;39;39;40;39.33;291.42;255
1;25.00;0.20;24;24;24;24.00;39;39;40;39.33;282.85;255
1;25.00;0.20;24;24;24;24.00;39;39;40;39.33;282.85;255
1;25.00;0.20;24;24;24;24.00;39;39;40;39.33;282.85;255
1;25.00;0.20;24;24;24;24.00;39;39;40;39.33;282.85;255
1;25.00;0.20;24;24;24;24.00;39;39;40;39.33;282.85;255
1;25.00;0.20;24;24;24;24.00;39;39;40;39.33;282.85;255
1;25.00;0.20;24;24;24;24.00;39;39;40;39.33;282.85;255
1;25.00;0.20;24;24;24;24.00;39;39;39;39.00;282.85;255
1;25.00;0.20;24;24;25;24.33;39;39;39;39.00;274.28;255
1;25.00;0.20;24;25;25;24.67;39;39;39;39.00;265.71;255
1;25.00;0.20;25;25;25;25.00;39;39;39;39.00;257.14;255
1;25.00;0.20;25;25;25;25.00;39;39;39;39.00;257.14;255
1;25.00;0.20;25;25;26;25.33;39;39;39;39.00;248.57;248
1;25.00;0.20;25;25;26;25.33;39;39;39;39.00;255.47;255
1;25.00;0.20;25;25;26;25.33;39;39;38;38.67;255.46;255
1;25.00;0.20;25;25;26;25.33;39;39;38;38.67;255.47;255
1;25.00;0.20;26;26;27;26.33;39;39;38;38.67;229.75;229
1;25.00;0.20;26;26;27;26.33;39;39;38;38.67;235.94;235
1;25.00;0.20;26;26;27;26.33;39;39;37;38.33;242.12;242
1;25.00;0.20;26;26;28;26.67;38;39;36;37.67;239.74;239
1;25.00;0.20;26;26;28;26.67;38;39;36;37.67;245.69;245
1;25.00;0.20;27;27;28;27.33;38;39;36;37.67;234.49;234
1;25.00;0.20;27;27;28;27.33;38;39;35;37.33;239.96;239
1;25.00;0.20;27;27;28;27.33;38;39;35;37.33;245.43;245
1;25.00;0.20;27;27;29;27.67;38;39;35;37.33;242.33;242
1;25.00;0.20;28;27;29;28.00;37;38;34;36.33;239.00;238
1;25.00;0.20;28;28;29;28.33;37;37;34;36.00;235.42;235
1;25.00;0.20;28;28;29;28.33;36;37;34;35.67;240.18;240
1;25.00;0.20;28;28;30;28.67;36;37;32;35.00;236.37;236
1;25.00;0.20;28;28;30;28.67;36;37;32;35.00;240.89;240
1;25.00;0.20;28;28;30;28.67;36;37;32;35.00;245.41;245
1;25.00;0.20;28;28;30;28.67;36;37;32;35.00;249.93;249
1;25.00;0.20;29;28;31;29.33;36;37;32;35.00;237.30;237
1;25.00;0.20;29;29;31;29.67;35;36;31;34.00;232.78;232
1;25.00;0.20;29;29;31;29.67;35;36;31;34.00;236.58;236
1;25.00;0.20;29;29;31;29.67;35;36;31;34.00;240.39;240
1;25.00;0.20;30;29;32;30.33;34;36;31;33.67;227.05;227
1;25.00;0.20;30;29;32;30.33;33;36;30;33.00;230.38;230
1;25.00;0.20;30;30;32;30.67;33;34;30;32.33;225.14;225
1;25.00;0.20;30;30;32;30.67;33;34;30;32.33;228.24;228
1;25.00;0.20;30;30;33;31.00;33;34;29;32.00;222.76;222
1;25.00;0.20;31;30;33;31.33;32;34;28;31.33;217.04;217
1;25.00;0.20;31;30;33;31.33;32;34;28;31.33;219.66;219
1;25.00;0.20;31;30;33;31.33;32;33;28;31.00;222.28;222
1;25.00;0.20;31;31;33;31.67;32;33;27;30.67;216.32;216
1;25.00;0.20;31;31;33;31.67;32;33;27;30.67;218.70;218
1;25.00;0.20;32;31;34;32.33;32;33;27;30.67;203.94;203
1;25.00;0.20;32;31;34;32.33;31;32;26;29.67;205.84;205
1;25.00;0.20;32;31;34;32.33;31;32;26;29.67;207.74;207
1;25.00;0.20;32;32;34;32.67;31;32;26;29.67;201.07;201
1;25.00;0.20;32;32;34;32.67;31;32;26;29.67;202.74;202
1;25.00;0.20;33;32;35;33.33;30;32;25;29.00;187.26;187
1;25.00;0.20;33;32;35;33.33;29;32;25;28.67;188.45;188
1;25.00;0.20;33;32;35;33.33;29;32;24;28.33;189.64;189
1;25.00;0.20;33;32;35;33.33;29;31;24;28.00;190.83;190
1;25.00;0.20;33;33;35;33.67;29;30;24;27.67;183.45;183
1;25.00;0.20;33;33;35;33.67;29;30;23;27.33;184.40;184
1;25.00;0.20;34;33;35;34.00;28;30;23;27.00;176.78;176
1;25.00;0.20;34;33;36;34.33;28;30;23;27.00;168.92;168
1;25.00;0.20;34;33;36;34.33;28;30;23;27.00;169.40;169
1;25.00;0.20;34;33;36;34.33;28;30;22;26.67;169.88;169
1;25.00;0.20;34;33;36;34.33;27;29;22;26.00;170.35;170
1;25.00;0.20;34;34;36;34.67;27;29;22;26.00;162.26;162
1;25.00;0.20;35;34;36;35.00;26;29;22;25.67;153.92;153
1;25.00;0.20;35;34;36;35.00;26;29;22;25.67;153.92;153
1;25.00;0.20;35;34;36;35.00;25;29;22;25.33;153.92;153
1;25.00;0.20;35;34;36;35.00;25;28;22;25.00;153.92;153
1;25.00;0.20;35;34;37;35.33;25;28;21;24.67;145.35;145
1;25.00;0.20;35;34;37;35.33;25;28;20;24.33;145.11;145
1;25.00;0.20;35;34;37;35.33;25;28;20;24.33;144.88;144
1;25.00;0.20;35;35;37;35.67;25;27;20;24.00;136.07;136
1;25.00;0.20;35;35;37;35.67;24;26;20;23.33;135.59;135
1;25.00;0.20;36;35;37;36.00;24;26;20;23.33;126.54;126
1;25.00;0.20;36;35;37;36.00;24;26;20;23.33;125.83;125
1;25.00;0.20;36;35;38;36.33;24;26;19;23.00;116.54;116
1;25.00;0.20;36;35;38;36.33;23;26;19;22.67;115.59;115
1;25.00;0.20;36;35;38;36.33;23;25;19;22.33;114.64;114
1;25.00;0.20;36;35;38;36.33;23;25;19;22.33;113.69;113
1;25.00;0.20;36;35;38;36.33;23;25;19;22.33;112.74;112
1;25.00;0.20;36;35;38;36.33;23;25;19;22.33;111.79;111
1;25.00;0.20;36;35;38;36.33;22;25;18;21.67;110.84;110
1;25.00;0.20;36;35;38;36.33;22;25;18;21.67;109.88;109
1;25.00;0.20;36;36;38;36.67;22;25;18;21.67;100.36;100
1;25.00;0.20;37;36;38;37.00;22;25;18;21.67;90.60;90
1;25.00;0.20;37;36;38;37.00;22;25;18;21.67;89.17;89
1;25.00;0.20;37;36;38;37.00;22;24;18;21.33;87.75;87
1;25.00;0.20;37;36;38;37.00;22;24;18;21.33;86.32;86
1;25.00;0.20;37;36;38;37.00;22;24;18;21.33;84.89;84
1;25.00;0.20;37;36;38;37.00;22;24;18;21.33;83.46;83
1;25.00;0.20;37;36;38;37.00;21;24;18;21.00;82.04;82
1;25.00;0.20;37;36;38;37.00;20;24;18;20.67;80.61;80
1;25.00;0.20;37;36;38;37.00;20;23;18;20.33;79.18;79
1;25.00;0.20;37;36;38;37.00;20;23;18;20.33;77.75;77
1;25.00;0.20;37;36;38;37.00;20;23;18;20.33;76.33;76
1;25.00;0.20;37;36;38;37.00;20;23;18;20.33;74.90;74
1;25.00;0.20;37;36;38;37.00;20;23;18;20.33;73.47;73
1;25.00;0.20;38;36;38;37.33;19;23;18;20.00;63.47;63
1;25.00;0.20;38;36;38;37.33;19;23;18;20.00;61.81;61
1;25.00;0.20;38;36;38;37.33;19;23;18;20.00;60.14;60
1;25.00;0.20;38;36;38;37.33;19;23;18;20.00;58.48;58
1;25.00;0.20;38;36;38;37.33;19;23;18;20.00;56.81;56
1;25.00;0.20;38;36;38;37.33;19;23;18;20.00;55.15;55
1;25.00;0.20;38;36;38;37.33;19;22;18;19.67;53.48;53
1;25.00;0.20;38;36;38;37.33;19;22;18;19.67;51.82;51
1;25.00;0.20;38;36;38;37.33;19;22;18;19.67;50.15;50
1;25.00;0.20;38;36;38;37.33;19;22;18;19.67;48.49;48
1;25.00;0.20;38;36;38;37.33;19;22;18;19.67;46.82;46
1;25.00;0.20;38;36;38;37.33;19;22;18;19.67;45.16;45
1;25.00;0.20;38;36;38;37.33;19;22;18;19.67;43.49;43
1;25.00;0.20;38;36;38;37.33;18;22;18;19.33;41.82;41
1;25.00;0.20;38;36;38;37.33;18;22;18;19.33;40.16;40
1;25.00;0.20;37;36;37;36.67;19;22;19;20.00;55.64;55
1;25.00;0.20;37;36;37;36.67;19;22;19;20.00;54.45;54
1;25.00;0.20;37;36;37;36.67;19;22;19;20.00;53.26;53
1;25.00;0.20;37;36;37;36.67;19;22;19;20.00;52.07;52
1;25.00;0.20;37;36;37;36.67;19;22;19;20.00;50.88;50
1;25.00;0.20;37;36;37;36.67;19;22;19;20.00;49.69;49
1;25.00;0.20;37;36;37;36.67;19;22;19;20.00;48.50;48
1;25.00;0.20;37;36;37;36.67;19;22;19;20.00;47.31;47
