ðt1;t2;t3;Tavg;h1;h2;h3;Havg;PID_raw;PWM;status
24;24;24;24.00;44;44;45;44.33;133.71;255;MAX
24;24;24;24.00;44;44;45;44.33;137.42;255;MAX
24;24;24;24.00;44;44;44;44.00;141.13;255;MAX
24;24;24;24.00;44;44;44;44.00;144.84;255;MAX
24;24;24;24.00;44;44;44;44.00;148.55;255;MAX
24;24;24;24.00;44;44;44;44.00;152.26;255;MAX
24;24;24;24.00;44;44;44;44.00;155.97;255;MAX
24;24;24;24.00;44;44;44;44.00;159.68;255;MAX
24;24;24;24.00;44;44;44;44.00;163.39;255;MAX
24;24;24;24.00;44;44;44;44.00;167.10;255;MAX
24;24;24;24.00;44;44;44;44.00;170.81;255;MAX
24;24;24;24.00;44;44;44;44.00;174.52;255;MAX
24;24;24;24.00;44;44;44;44.00;178.23;255;MAX
24;24;24;24.00;44;44;44;44.00;181.94;255;MAX
24;24;24;24.00;44;44;44;44.00;185.65;255;MAX
24;24;24;24.00;44;44;44;44.00;189.36;255;MAX
24;24;25;24.33;44;44;43;43.67;191.35;255;MAX
24;24;25;24.33;44;44;43;43.67;195.02;255;MAX
24;24;25;24.33;44;44;43;43.67;198.68;255;MAX
25;25;25;25.00;44;44;43;43.67;198.91;255;MAX
25;25;26;25.33;44;44;43;43.67;200.77;255;MAX
25;25;26;25.33;43;44;42;43.00;204.29;255;MAX
25;25;26;25.33;43;44;42;43.00;207.81;255;MAX
25;25;26;25.33;43;43;42;42.67;211.33;255;MAX
25;25;27;25.67;43;43;41;42.33;213.13;255;MAX
26;26;27;26.33;43;43;41;42.33;213.18;255;MAX
26;26;27;26.33;43;43;40;42.00;216.55;255;MAX
26;26;27;26.33;43;43;40;42.00;219.93;255;MAX
26;26;28;26.67;43;43;39;41.67;221.59;255;MAX
26;26;28;26.67;42;43;38;41.00;224.92;255;MAX
27;27;28;27.33;42;43;38;41.00;224.82;255;MAX
27;27;28;27.33;42;43;38;41.00;228.06;255;MAX
27;27;28;27.33;42;42;38;40.67;231.29;255;MAX
27;27;29;27.67;42;42;37;40.33;232.82;255;MAX
28;27;29;28.00;40;42;37;39.67;234.29;255;MAX
28;28;29;28.33;40;41;37;39.33;235.71;255;MAX
28;28;29;28.33;40;41;37;39.33;238.80;255;MAX
