t1;t2;t3;Tavg;h1;h2;h3;Havg;PID_raw;PWM
24;24;23;23.67;34;35;36;35.00;76.50;76
24;24;23;23.67;34;35;36;35.00;79.69;79
24;24;23;23.67;34;35;36;35.00;82.88;82
24;24;23;23.67;34;35;36;35.00;86.07;86
24;24;23;23.67;34;35;36;35.00;89.26;89
24;24;23;23.67;34;35;36;35.00;92.45;92
24;24;23;23.67;34;35;36;35.00;95.64;95
24;24;23;23.67;34;35;36;35.00;98.83;98
24;24;23;23.67;34;35;36;35.00;102.02;102
24;24;23;23.67;34;35;36;35.00;105.21;105
24;24;23;23.67;34;35;36;35.00;108.40;108
24;24;24;24.00;34;35;36;35.00;96.94;96
24;24;24;24.00;34;35;36;35.00;112.43;112
24;24;24;24.00;34;35;36;35.00;115.53;115
24;24;24;24.00;34;35;36;35.00;118.62;118
24;24;24;24.00;34;35;36;35.00;121.72;121
24;24;24;24.00;35;35;36;35.33;124.82;124
24;24;24;24.00;35;35;36;35.33;127.91;127
24;24;24;24.00;35;35;36;35.33;131.01;131
24;24;24;24.00;35;35;36;35.33;134.10;134
24;24;24;24.00;35;35;36;35.33;137.20;137
24;24;24;24.00;35;35;36;35.33;140.30;140
24;24;24;24.00;35;35;36;35.33;143.39;143
24;24;24;24.00;35;35;36;35.33;146.49;146
24;24;24;24.00;35;35;36;35.33;149.58;149
24;24;24;24.00;35;35;35;35.00;152.68;152
24;24;24;24.00;35;35;35;35.00;155.78;155
24;24;25;24.33;35;35;35;35.00;144.23;144
24;25;25;24.67;35;35;35;35.00;144.99;144
24;25;25;24.67;34;35;35;34.67;160.28;160
25;25;25;25.00;34;35;35;34.67;148.55;148
25;25;25;25.00;34;35;35;34.67;163.76;163
25;25;25;25.00;34;35;35;34.67;166.57;166
25;25;25;25.00;34;35;35;34.67;169.39;169
25;25;26;25.33;34;35;35;34.67;157.56;157
25;25;26;25.33;34;35;34;34.33;172.67;172
25;25;26;25.33;34;35;34;34.33;175.39;175
25;25;26;25.33;34;35;34;34.33;178.11;178
25;25;26;25.33;34;35;34;34.33;180.83;180
26;26;26;26.00;34;35;34;34.33;154.27;154
26;26;26;26.00;34;35;34;34.33;181.59;181
26;26;27;26.33;34;35;34;34.33;169.48;169
26;26;27;26.33;34;35;34;34.33;184.31;184
26;26;27;26.33;34;35;34;34.33;186.75;186
26;26;27;26.33;34;35;34;34.33;189.19;189
26;26;27;26.33;34;35;34;34.33;191.63;191
26;26;27;26.33;34;35;34;34.33;194.07;194
27;26;28;27.00;34;35;33;34.00;167.23;167
27;27;28;27.33;34;34;33;33.67;179.62;179
27;27;28;27.33;34;34;32;33.33;194.17;194
27;27;28;27.33;34;34;32;33.33;196.33;196
27;27;28;27.33;34;34;32;33.33;198.49;198
27;27;28;27.33;34;34;32;33.33;200.64;200
27;27;28;27.33;34;34;32;33.33;202.80;202
28;27;28;27.67;33;34;32;33.00;190.32;190
28;27;28;27.67;32;34;32;32.67;204.77;204
28;28;29;28.33;32;33;32;32.33;177.56;177
28;28;29;28.33;32;33;32;32.33;204.22;204
28;28;29;28.33;32;33;32;32.33;206.09;206
28;28;29;28.33;32;33;31;32.00;207.97;207
28;28;29;28.33;32;33;31;32.00;209.84;209
28;28;29;28.33;32;33;31;32.00;211.72;211
28;28;29;28.33;32;33;31;32.00;213.60;213
28;28;30;28.67;32;33;30;31.67;200.83;200
29;28;30;29.00;32;33;30;31.67;200.37;200
29;28;30;29.00;32;33;30;31.67;214.44;214
29;29;30;29.33;32;33;30;31.67;201.50;201
29;29;30;29.33;32;32;29;31.00;215.48;215
29;29;30;29.33;31;32;29;30.67;217.07;217
29;29;31;29.67;31;32;29;30.67;204.03;204
29;29;31;29.67;31;32;29;30.67;217.92;217
30;29;31;30.00;30;32;29;30.33;204.78;204
30;29;31;30.00;30;32;29;30.33;218.58;218
30;29;31;30.00;30;32;28;30.00;219.99;219
30;30;31;30.33;30;31;28;29.67;206.76;206
30;30;32;30.67;30;31;28;29.67;205.82;205
30;30;32;30.67;30;31;28;29.67;219.43;219
30;30;32;30.67;30;31;28;29.67;220.65;220
31;30;32;31.00;29;31;27;29.00;207.23;207
31;30;32;31.00;29;31;27;29.00;220.74;220
31;30;32;31.00;29;30;27;28.67;221.87;221
31;31;32;31.33;29;30;27;28.67;208.35;208
31;31;33;31.67;29;30;26;28.33;207.14;207
31;31;33;31.67;29;30;26;28.33;220.47;220
31;31;33;31.67;29;30;26;28.33;221.40;221
32;31;33;32.00;28;30;26;28.00;207.70;207
32;31;33;32.00;28;30;26;28.00;220.94;220
32;31;33;32.00;28;30;25;27.67;221.78;221
32;31;33;32.00;28;30;25;27.67;222.63;222
32;32;34;32.67;28;30;25;27.67;194.19;194
32;32;34;32.67;28;29;25;27.33;219.63;219
32;32;34;32.67;27;29;24;26.67;220.28;220
33;32;34;33.00;26;29;24;26.33;206.30;206
33;32;34;33.00;26;29;24;26.33;219.25;219
33;32;34;33.00;26;29;24;26.33;219.82;219
33;32;34;33.00;26;29;24;26.33;220.38;220
33;32;34;33.00;26;29;24;26.33;220.94;220
33;33;35;33.67;26;28;22;25.33;192.23;192
33;33;35;33.67;26;27;22;25.00;217.38;217
33;33;35;33.67;26;27;22;25.00;217.76;217
34;33;35;34.00;26;27;22;25.00;203.49;203
34;33;35;34.00;25;27;22;24.67;216.16;216
34;33;35;34.00;25;27;22;24.67;216.44;216
34;33;35;34.00;25;27;22;24.67;216.73;216
34;33;35;34.00;25;27;22;24.67;217.01;217
34;34;35;34.33;25;26;21;24.00;202.65;202
34;34;36;34.67;24;26;21;23.67;200.59;200
34;34;36;34.67;24;26;20;23.33;213.07;213
35;34;36;35.00;23;26;20;23.00;198.53;198
35;34;36;35.00;23;26;20;23.00;210.91;210
35;34;36;35.00;23;26;20;23.00;210.91;210
35;34;36;35.00;23;26;20;23.00;210.91;210
35;34;36;35.00;23;26;20;23.00;210.91;210
35;34;36;35.00;22;26;20;22.67;210.91;210
35;35;36;35.33;22;25;20;22.33;196.27;196
35;35;37;35.67;22;25;20;22.33;193.93;193
35;35;37;35.67;22;25;20;22.33;206.13;206
35;35;37;35.67;22;24;19;21.67;205.95;205
36;35;37;36.00;22;24;19;21.67;191.12;191
36;35;37;36.00;22;24;19;21.67;203.23;203
36;35;37;36.00;22;24;19;21.67;202.95;202
36;35;38;36.33;22;24;18;21.33;188.03;188
36;35;38;36.33;21;24;18;21.00;200.04;200
36;35;38;36.33;20;23;18;20.33;199.66;199
36;35;38;36.33;20;23;18;20.33;199.29;199
36;36;38;36.67;20;23;18;20.33;184.27;184
36;36;38;36.67;20;23;18;20.33;196.19;196
36;36;38;36.67;20;23;18;20.33;195.72;195
37;36;38;37.00;20;23;18;20.33;180.61;180
37;36;38;37.00;20;23;18;20.33;192.44;192
37;36;38;37.00;20;22;18;20.00;191.88;191
37;36;38;37.00;20;22;18;20.00;191.32;191
37;36;38;37.00;20;22;18;20.00;190.75;190
37;36;38;37.00;20;22;17;19.67;190.19;190
38;36;39;37.67;19;22;17;19.33;160.35;160
38;36;39;37.67;18;22;17;19.00;184.38;184
38;36;39;37.67;18;22;16;18.67;183.63;183
38;37;39;38.00;18;22;16;18.67;168.24;168
38;37;39;38.00;18;22;16;18.67;179.78;179
38;37;39;38.00;18;22;16;18.67;178.94;178
38;37;39;38.00;18;22;15;18.33;178.09;178
38;37;39;38.00;18;22;15;18.33;177.25;177
38;37;39;38.00;18;21;15;18.00;176.40;176
38;37;39;38.00;18;20;15;17.67;175.56;175
38;38;39;38.33;18;19;15;17.33;160.08;160
38;38;39;38.33;18;19;15;17.33;171.53;171
38;38;39;38.33;18;19;15;17.33;170.59;170
38;38;39;38.33;18;19;15;17.33;169.65;169
38;38;39;38.33;18;19;15;17.33;168.71;168
39;38;39;38.67;18;19;15;17.33;153.14;153
39;38;39;38.67;18;19;15;17.33;164.49;164
39;38;39;38.67;18;19;15;17.33;163.46;163
39;38;39;38.67;18;19;15;17.33;162.43;162
39;38;39;38.67;18;19;15;17.33;161.39;161
39;38;39;38.67;17;19;15;17.00;160.36;160
39;38;40;39.00;16;19;14;16.33;144.69;144
39;38;40;39.00;16;19;14;16.33;155.95;155
39;38;40;39.00;16;19;14;16.33;154.83;154
39;38;40;39.00;16;19;14;16.33;153.70;153
39;38;40;39.00;15;19;14;16.00;152.58;152
39;38;40;39.00;15;18;14;15.67;151.45;151
39;38;40;39.00;15;18;14;15.67;150.32;150
39;38;40;39.00;15;18;14;15.67;149.20;149
39;38;40;39.00;15;18;14;15.67;148.07;148
39;38;40;39.00;15;18;14;15.67;146.95;146
39;38;40;39.00;15;18;14;15.67;145.82;145
39;39;40;39.33;15;18;14;15.67;130.06;130
39;39;40;39.33;15;18;14;15.67;141.23;141
39;39;40;39.33;15;18;14;15.67;140.01;140
39;39;40;39.33;15;18;14;15.67;138.79;138
39;39;40;39.33;15;18;14;15.67;137.57;137
39;39;40;39.33;15;18;14;15.67;136.35;136
39;39;40;39.33;15;18;14;15.67;135.13;135
39;39;40;39.33;15;18;14;15.67;133.91;133
39;39;40;39.33;15;18;14;15.67;132.69;132
39;39;40;39.33;15;18;13;15.33;131.47;131
39;39;40;39.33;15;18;13;15.33;130.25;130
39;39;40;39.33;15;18;13;15.33;129.03;129
40;39;40;39.67;14;18;13;15.00;113.17;113
40;39;40;39.67;14;18;13;15.00;124.24;124
40;39;40;39.67;14;18;13;15.00;122.93;122
40;39;40;39.67;14;18;13;15.00;121.62;121
40;39;40;39.67;14;18;13;15.00;120.30;120
40;39;40;39.67;14;18;13;15.00;118.99;118
40;39;40;39.67;14;18;13;15.00;117.68;117
40;39;40;39.67;14;18;13;15.00;116.36;116
40;39;40;39.67;14;18;13;15.00;115.05;115
40;39;40;39.67;14;18;13;15.00;113.74;113
40;39;40;39.67;14;18;13;15.00;112.42;112
40;39;40;39.67;14;18;13;15.00;111.11;111
40;39;40;39.67;14;18;13;15.00;109.80;109
40;39;40;39.67;14;18;13;15.00;108.48;108
40;39;40;39.67;14;18;13;15.00;107.17;107
40;39;40;39.67;14;18;13;15.00;105.85;105
40;39;40;39.67;14;18;13;15.00;104.54;104
40;39;40;39.67;14;18;13;15.00;103.23;103
40;39;40;39.67;14;18;13;15.00;101.91;101
40;39;40;39.67;14;18;13;15.00;100.60;100
40;39;40;39.67;14;17;13;14.67;99.29;99
40;39;40;39.67;14;17;13;14.67;97.97;97
40;39;40;39.67;14;17;13;14.67;96.66;96
40;39;40;39.67;14;17;13;14.67;95.35;95
40;39;40;39.67;14;17;13;14.67;94.03;94
40;39;40;39.67;14;17;13;14.67;92.72;92
39;39;39;39.00;15;17;14;15.33;120.68;120
39;39;39;39.00;15;17;14;15.33;94.78;94
39;39;39;39.00;15;17;14;15.33;93.65;93
39;39;39;39.00;15;16;14;15.00;92.53;92
39;39;39;39.00;15;16;14;15.00;91.40;91
39;39;39;39.00;15;16;14;15.00;90.28;90
39;39;39;39.00;15;16;14;15.00;89.15;89
39;39;39;39.00;15;16;14;15.00;88.02;88
39;39;39;39.00;15;16;14;15.00;86.90;86
39;39;39;39.00;15;16;14;15.00;85.77;85
39;39;39;39.00;14;16;14;14.67;84.65;84
39;39;39;39.00;15;16;14;15.00;83.52;83
39;39;39;39.00;15;16;14;15.00;82.39;82
39;39;39;39.00;14;16;14;14.67;81.27;81
39;39;39;39.00;14;16;14;14.67;80.14;80
39;39;39;39.00;15;16;14;15.00;79.02;79
39;39;39;39.00;15;16;14;15.00;77.89;77
39;39;39;39.00;15;16;14;15.00;76.76;76
