t1;t2;t3;Tavg;h1;h2;h3;Havg;PID_raw;PWM
24;24;23;23.67;33;33;34;33.33;226.29;226
24;24;23;23.67;33;33;34;33.33;232.66;232
24;24;23;23.67;33;33;34;33.33;239.03;239
24;24;23;23.67;33;33;34;33.33;245.40;245
24;24;23;23.67;33;33;34;33.33;251.77;251
24;24;23;23.67;33;33;34;33.33;258.15;255
24;24;23;23.67;33;33;34;33.33;258.15;255
24;24;23;23.67;33;33;34;33.33;258.14;255
24;24;24;24.00;33;33;34;33.33;251.49;251
24;24;24;24.00;33;33;34;33.33;257.68;255
24;24;24;24.00;33;33;34;33.33;257.67;255
24;24;24;24.00;33;33;34;33.33;257.68;255
24;24;24;24.00;33;33;34;33.33;257.67;255
24;24;24;24.00;33;33;34;33.33;257.68;255
24;24;24;24.00;33;33;34;33.33;257.67;255
24;24;24;24.00;33;34;34;33.67;257.67;255
24;25;24;24.33;33;34;34;33.67;251.02;251
24;25;24;24.33;33;34;34;33.67;257.01;255
24;25;25;24.67;33;34;34;33.67;250.36;250
24;25;25;24.67;33;34;34;33.67;256.17;255
25;25;25;25.00;33;34;34;33.67;249.52;249
25;25;25;25.00;33;34;33;33.33;255.14;255
25;25;26;25.33;33;34;33;33.33;248.48;248
25;25;26;25.33;33;34;33;33.33;253.92;253
25;25;26;25.33;33;33;33;33.00;259.35;255
25;26;26;25.67;33;33;33;33.00;252.70;252
26;26;27;26.33;33;33;33;33.00;244.63;244
26;26;27;26.33;33;33;33;33.00;249.51;249
26;26;27;26.33;33;33;33;33.00;254.38;254
26;26;27;26.33;33;33;32;32.67;259.25;255
26;26;28;26.67;33;33;31;32.33;252.59;252
26;27;28;27.00;33;33;31;32.33;250.63;250
27;27;28;27.33;33;33;31;32.33;248.47;248
27;27;28;27.33;32;33;31;32.00;252.78;252
27;27;28;27.33;32;33;30;31.67;257.09;255
27;27;29;27.67;32;33;30;31.67;250.43;250
27;27;29;27.67;32;33;30;31.67;254.56;254
28;28;29;28.33;31;32;30;31.00;245.37;245
28;28;29;28.33;31;32;29;30.67;249.12;249
28;28;29;28.33;31;32;29;30.67;252.86;252
28;28;30;28.67;31;32;28;30.33;249.96;249
28;28;30;28.67;31;31;28;30.00;253.52;253
28;28;30;28.67;30;31;27;29.33;257.08;255
29;28;30;29.00;30;31;27;29.33;250.42;250
29;29;31;29.67;30;31;27;29.33;240.49;240
29;29;31;29.67;30;31;27;29.33;243.49;243
29;29;31;29.67;30;31;27;29.33;246.48;246
29;29;31;29.67;30;31;27;29.33;249.48;249
30;29;32;30.33;28;31;26;28.33;239.17;239
30;29;32;30.33;28;31;26;28.33;241.79;241
30;30;32;30.67;28;29;26;27.67;237.76;237
30;30;32;30.67;28;29;26;27.67;240.20;240
30;30;32;30.67;28;29;25;27.33;242.64;242
31;30;33;31.33;27;29;24;26.67;231.76;231
31;30;33;31.33;27;29;24;26.67;233.82;233
31;31;33;31.67;27;29;23;26.33;229.23;229
31;31;33;31.67;27;28;23;26.00;231.10;231
31;31;33;31.67;27;28;23;26.00;232.98;232
32;31;34;32.33;27;28;23;26.00;221.54;221
32;31;34;32.33;27;28;23;26.00;223.04;223
32;31;34;32.33;26;28;22;25.33;224.54;224
32;32;34;32.67;26;28;22;25.33;219.38;219
32;32;34;32.67;26;27;21;24.67;220.69;220
33;32;34;33.00;25;27;21;24.33;215.35;215
33;32;35;33.33;24;27;20;23.67;209.82;209
33;32;35;33.33;24;27;20;23.67;210.76;210
33;33;35;33.67;24;26;20;23.33;205.04;205
33;33;35;33.67;24;26;20;23.33;205.79;205
33;33;35;33.67;24;26;20;23.33;206.54;206
34;33;35;34.00;23;26;19;22.67;200.63;200
34;33;35;34.00;23;25;19;22.33;201.19;201
34;33;36;34.33;23;25;19;22.33;195.10;195
34;33;36;34.33;23;25;19;22.33;195.47;195
34;34;36;34.67;23;25;19;22.33;189.19;189
34;34;36;34.67;23;25;19;22.33;189.38;189
34;34;36;34.67;23;24;19;22.00;189.57;189
35;34;36;35.00;21;24;19;21.33;183.10;183
35;34;36;35.00;20;24;19;21.00;183.10;183
35;34;37;35.33;20;24;19;21.00;176.44;176
35;34;37;35.33;20;24;18;20.67;176.26;176
35;35;37;35.67;20;22;17;19.67;169.41;169
35;35;37;35.67;20;22;17;19.67;169.04;169
35;35;37;35.67;20;22;17;19.67;168.66;168
36;35;37;36.00;20;22;16;19.33;161.63;161
36;35;38;36.33;20;22;15;19.00;154.42;154
36;35;38;36.33;19;22;15;18.67;153.67;153
36;35;38;36.33;19;22;15;18.67;152.92;152
36;35;38;36.33;19;22;15;18.67;152.17;152
36;35;38;36.33;19;21;15;18.33;151.42;151
36;35;38;36.33;19;21;15;18.33;150.67;150
36;36;38;36.67;19;20;15;18.00;143.26;143
36;36;38;36.67;19;20;15;18.00;142.32;142
36;36;38;36.67;19;20;15;18.00;141.39;141
37;36;38;37.00;19;20;15;18.00;133.79;133
37;36;38;37.00;19;20;15;18.00;132.67;132
37;36;38;37.00;19;20;15;18.00;131.55;131
37;36;38;37.00;19;20;15;18.00;130.42;130
37;36;38;37.00;18;20;15;17.67;129.30;129
37;36;38;37.00;17;20;15;17.33;128.17;128
37;36;38;37.00;17;20;15;17.33;127.05;127
38;36;38;37.33;16;20;15;17.00;119.27;119
38;36;38;37.33;15;19;14;16.00;117.96;117
38;36;39;37.67;15;19;14;16.00;109.99;109
38;37;39;38.00;15;19;14;16.00;101.83;101
38;37;39;38.00;15;19;14;16.00;100.15;100
38;37;39;38.00;15;19;14;16.00;98.46;98
38;37;39;38.00;15;19;14;16.00;96.77;96
38;37;39;38.00;15;19;14;16.00;95.09;95
38;37;39;38.00;15;19;14;16.00;93.40;93
38;37;39;38.00;15;19;14;16.00;91.71;91
38;37;39;38.00;15;19;14;16.00;90.03;90
38;37;39;38.00;15;19;14;16.00;88.34;88
38;37;39;38.00;15;19;14;16.00;86.65;86
38;37;39;38.00;15;19;14;16.00;84.97;84
38;37;39;38.00;15;19;14;16.00;83.28;83
38;37;39;38.00;15;19;14;16.00;81.59;81
38;37;39;38.00;15;19;14;16.00;79.91;79
38;37;38;37.67;15;19;14;16.00;84.87;84
38;37;38;37.67;15;19;14;16.00;83.38;83
38;37;38;37.67;15;19;14;16.00;81.88;81
38;37;38;37.67;15;19;14;16.00;80.38;80
38;37;38;37.67;15;19;14;16.00;78.88;78
38;37;38;37.67;15;18;14;15.67;77.38;77
