t1;t2;t3;Tavg;h1;h2;h3;Havg;PID_raw;PWM
23;23;23;23.00;37;37;38;37.33;419.30;255
23;23;23;23.00;37;37;38;37.33;419.31;255
23;23;23;23.00;37;37;38;37.33;419.31;255
23;23;23;23.00;37;37;38;37.33;419.31;255
23;23;23;23.00;37;37;38;37.33;419.31;255
23;23;23;23.00;37;37;38;37.33;419.31;255
23;23;23;23.00;37;37;38;37.33;419.31;255
23;23;23;23.00;37;37;38;37.33;419.31;255
23;23;23;23.00;37;37;38;37.33;419.31;255
23;23;23;23.00;37;37;38;37.33;419.31;255
23;23;23;23.00;37;37;38;37.33;419.31;255
23;23;23;23.00;37;37;38;37.33;419.31;255
23;23;23;23.00;37;37;38;37.33;419.30;255
23;23;23;23.00;37;37;38;37.33;419.31;255
23;23;23;23.00;37;37;38;37.33;419.31;255
23;24;24;23.67;37;37;38;37.33;396.01;255
24;24;24;24.00;37;37;38;37.33;384.37;255
24;24;24;24.00;37;37;38;37.33;384.36;255
24;24;24;24.00;37;37;37;37.00;384.37;255
24;24;24;24.00;37;37;37;37.00;384.36;255
24;24;24;24.00;37;37;37;37.00;384.36;255
24;24;25;24.33;37;37;37;37.00;372.72;255
24;24;25;24.33;37;37;37;37.00;372.72;255
24;24;25;24.33;37;37;36;36.67;372.71;255
24;25;26;25.00;36;37;36;36.33;349.42;255
25;25;26;25.33;36;37;36;36.33;337.77;255
25;25;26;25.33;36;37;36;36.33;337.77;255
25;25;27;25.67;36;37;35;36.00;326.13;255
25;25;27;25.67;36;37;35;36.00;326.13;255
26;26;27;26.33;36;37;35;36.00;302.83;255
26;26;27;26.33;36;37;34;35.67;302.83;255
26;26;28;26.67;36;37;33;35.33;291.19;255
26;26;28;26.67;35;36;33;34.67;291.19;255
27;26;28;27.00;35;36;33;34.67;279.54;255
27;27;28;27.33;35;36;33;34.67;267.89;255
27;27;29;27.67;35;36;32;34.33;256.24;255
27;27;29;27.67;35;36;32;34.33;256.24;255
28;27;29;28.00;33;36;32;33.67;244.60;244
28;28;29;28.33;33;34;32;33.00;239.84;239
28;28;30;28.67;33;34;30;32.33;234.75;234
28;28;30;28.67;33;34;30;32.33;240.98;240
28;28;30;28.67;33;34;30;32.33;247.21;247
28;28;30;28.67;33;34;30;32.33;253.44;253
29;28;31;29.33;33;33;29;31.67;236.38;236
29;28;31;29.33;32;33;29;31.33;241.96;241
29;29;31;29.67;32;33;29;31.33;235.89;235
29;29;32;30.00;32;33;28;31.00;229.48;229
29;29;32;30.00;32;33;28;31.00;234.40;234
30;29;32;30.33;31;33;28;30.67;227.68;227
30;30;32;30.67;31;32;27;30.00;220.62;220
30;30;33;31.00;30;32;26;29.33;213.24;213
30;30;33;31.00;30;31;26;29.00;217.17;217
31;30;33;31.33;30;31;26;29.00;209.46;209
31;30;33;31.33;30;31;25;28.67;213.07;213
31;31;33;31.67;30;31;25;28.67;205.03;205
31;31;34;32.00;29;31;25;28.33;196.66;196
31;31;34;32.00;29;31;24;28.00;199.61;199
32;31;34;32.33;29;30;24;27.67;190.92;190
32;31;34;32.33;28;30;24;27.33;193.54;193
32;32;34;32.67;28;30;23;27.00;184.52;184
32;32;35;33.00;28;30;22;26.67;175.17;175
33;32;35;33.33;27;30;22;26.33;165.49;165
33;32;35;33.33;26;29;22;25.67;167.13;167
33;32;35;33.33;26;29;22;25.67;168.77;168
33;33;35;33.67;26;28;21;25.00;158.76;158
33;33;35;33.67;26;28;20;24.67;160.07;160
33;33;35;33.67;26;28;20;24.67;161.38;161
34;33;36;34.33;25;27;20;24.00;139.40;139
34;33;36;34.33;25;27;20;24.00;140.06;140
34;33;36;34.33;25;27;20;24.00;140.71;140
34;33;36;34.33;25;27;20;24.00;141.37;141
34;34;36;34.67;24;26;20;23.33;130.38;130
34;34;36;34.67;24;26;19;23.00;130.70;130
35;34;36;35.00;23;26;19;22.67;119.38;119
35;34;36;35.00;23;26;19;22.67;119.38;119
35;34;36;35.00;22;26;19;22.33;119.38;119
35;34;37;35.33;22;26;19;22.33;107.74;107
35;34;37;35.33;22;26;19;22.33;107.41;107
35;34;37;35.33;22;25;19;22.00;107.08;107
35;35;37;35.67;22;24;19;21.67;95.11;95
35;35;37;35.67;22;24;19;21.67;94.45;94
35;35;37;35.67;21;24;19;21.33;93.79;93
36;35;37;36.00;20;24;19;21.00;81.49;81
36;35;37;36.00;20;23;19;20.67;80.51;80
36;35;37;36.00;20;23;19;20.67;79.52;79
36;35;37;36.00;20;23;19;20.67;78.54;78
36;35;37;36.00;20;23;19;20.67;77.55;77
36;35;37;36.00;20;23;19;20.67;76.57;76
36;35;37;36.00;20;22;18;20.00;75.59;75
36;35;37;36.00;20;22;18;20.00;74.60;74
36;35;37;36.00;20;22;18;20.00;73.62;73
36;35;37;36.00;20;22;17;19.67;72.64;72
36;35;37;36.00;19;22;17;19.33;71.65;71
36;35;37;36.00;19;22;17;19.33;70.67;70
36;36;37;36.33;19;22;17;19.33;58.04;58
36;36;37;36.33;19;22;17;19.33;56.72;56
36;36;37;36.33;19;22;17;19.33;55.41;55
36;36;37;36.33;19;22;17;19.33;54.10;54
36;36;37;36.33;19;22;17;19.33;52.79;52
36;36;37;36.33;19;22;17;19.33;51.48;51
36;36;37;36.33;19;21;17;19.00;50.17;50
36;36;37;36.33;19;21;17;19.00;48.85;48
36;36;37;36.33;19;20;17;18.67;47.54;47
36;36;37;36.33;19;20;17;18.67;46.23;46
36;36;37;36.33;19;20;17;18.67;44.92;44
36;36;37;36.33;19;20;17;18.67;43.61;43
36;36;37;36.33;19;20;17;18.67;42.29;42
36;36;37;36.33;19;20;17;18.67;40.98;40
36;36;36;36.00;19;20;17;18.67;51.32;51
36;36;36;36.00;19;20;17;18.67;50.33;50
36;36;36;36.00;19;20;17;18.67;49.35;49
36;36;36;36.00;19;20;17;18.67;48.37;48
36;36;36;36.00;19;20;17;18.67;47.38;47
36;36;36;36.00;19;20;17;18.67;46.40;46
36;36;36;36.00;19;20;17;18.67;45.41;45
36;36;36;36.00;19;20;17;18.67;44.43;44
36;36;36;36.00;19;20;17;18.67;43.45;43
36;35;36;35.67;19;20;17;18.67;54.11;54
36;35;36;35.67;19;20;17;18.67;53.45;53
36;35;36;35.67;19;20;17;18.67;52.80;52
36;35;36;35.67;19;20;17;18.67;52.14;52
36;35;36;35.67;19;20;18;19.00;51.49;51
36;35;36;35.67;19;20;18;19.00;50.83;50
36;35;36;35.67;19;20;18;19.00;50.17;50
36;35;36;35.67;19;20;18;19.00;49.52;49
36;35;35;35.33;19;20;19;19.33;60.51;60
36;35;35;35.33;19;20;19;19.33;60.18;60
36;35;35;35.33;19;20;19;19.33;59.85;59
36;35;35;35.33;19;20;19;19.33;59.53;59
36;35;35;35.33;19;20;19;19.33;59.20;59
36;35;35;35.33;19;20;19;19.33;58.87;58
36;35;35;35.33;19;20;19;19.33;58.54;58
36;35;35;35.33;19;20;19;19.33;58.21;58
35;35;35;35.00;19;20;19;19.33;69.53;69
35;35;35;35.00;19;20;19;19.33;69.53;69
35;35;35;35.00;19;20;19;19.33;69.53;69
35;35;35;35.00;19;20;19;19.33;69.53;69
35;35;35;35.00;19;20;19;19.33;69.53;69
35;35;35;35.00;19;20;19;19.33;69.53;69
35;35;35;35.00;19;20;19;19.33;69.53;69
35;35;35;35.00;19;20;19;19.33;69.53;69
35;35;35;35.00;19;20;19;19.33;69.53;69
35;35;35;35.00;19;20;19;19.33;69.53;69
35;35;35;35.00;19;20;19;19.33;69.53;69
35;35;35;35.00;19;20;19;19.33;69.53;69
35;35;35;35.00;19;20;19;19.33;69.53;69
35;34;34;34.33;19;21;20;20.00;92.83;92
35;34;34;34.33;19;21;20;20.00;93.48;93
35;34;34;34.33;19;21;20;20.00;94.14;94
35;34;34;34.33;19;21;20;20.00;94.80;94
