t1;t2;t3;Tavg;h1;h2;h3;Havg;PID_raw;PWM
23;23;23;23.00;43;43;46;44.00;59.90;59
23;23;23;23.00;43;43;46;44.00;61.59;61
23;23;23;23.00;43;43;46;44.00;63.27;63
23;23;23;23.00;43;43;46;44.00;64.96;64
23;23;23;23.00;43;43;46;44.00;66.65;66
23;23;23;23.00;43;43;46;44.00;68.33;68
23;23;23;23.00;43;43;46;44.00;70.02;70
23;23;23;23.00;43;43;46;44.00;71.71;71
23;23;23;23.00;43;43;46;44.00;73.39;73
23;23;23;23.00;43;43;45;43.67;75.08;75
23;23;23;23.00;43;44;45;44.00;76.77;76
23;23;23;23.00;43;44;45;44.00;78.45;78
23;23;23;23.00;43;44;45;44.00;80.14;80
23;24;23;23.33;43;44;45;44.00;80.16;80
23;24;23;23.33;43;44;45;44.00;81.80;81
23;24;23;23.33;43;44;45;44.00;83.44;83
23;24;23;23.33;43;43;45;43.67;85.08;85
24;24;24;24.00;43;43;44;43.33;83.39;83
24;24;24;24.00;43;43;44;43.33;84.94;84
24;24;24;24.00;43;43;44;43.33;86.49;86
24;24;24;24.00;43;43;44;43.33;88.03;88
24;24;24;24.00;43;43;44;43.33;89.58;89
24;24;24;24.00;43;43;44;43.33;91.13;91
24;24;24;24.00;43;43;44;43.33;92.67;92
24;24;24;24.00;43;43;44;43.33;94.22;94
24;24;24;24.00;43;43;44;43.33;95.76;95
24;24;24;24.00;43;43;43;43.00;97.31;97
24;24;24;24.00;43;43;43;43.00;98.86;98
24;24;24;24.00;43;43;43;43.00;100.40;100
24;24;25;24.33;43;43;43;43.00;100.28;100
24;24;25;24.33;43;43;43;43.00;101.78;101
24;24;25;24.33;43;43;43;43.00;103.28;103
24;25;25;24.67;43;43;42;42.67;103.12;103
25;25;25;25.00;43;43;42;42.67;102.91;102
25;25;25;25.00;42;43;42;42.33;104.31;104
25;25;25;25.00;42;43;42;42.33;105.72;105
25;25;26;25.33;42;43;42;42.33;105.46;105
25;25;26;25.33;42;42;42;42.00;106.82;106
25;25;26;25.33;42;42;41;41.67;108.18;108
25;25;26;25.33;42;42;41;41.67;109.54;109
25;25;26;25.33;42;42;41;41.67;110.90;110
25;25;26;25.33;42;42;41;41.67;112.25;112
26;26;26;26.00;42;42;41;41.67;110.28;110
26;26;26;26.00;41;42;40;41.00;111.55;111
26;26;27;26.33;41;42;40;41.00;111.15;111
26;26;27;26.33;41;42;40;41.00;112.37;112
26;26;27;26.33;41;42;40;41.00;113.59;113
26;26;27;26.33;41;41;39;40.33;114.81;114
26;26;27;26.33;41;41;39;40.33;116.02;116
26;26;27;26.33;40;41;39;40.00;117.24;117
27;26;27;26.67;40;41;39;40.00;116.80;116
27;27;27;27.00;40;41;39;40.00;116.30;116
27;27;28;27.33;40;41;38;39.67;115.76;115
27;27;28;27.33;40;41;38;39.67;116.84;116
27;27;28;27.33;40;41;38;39.67;117.92;117
27;27;28;27.33;39;40;38;39.00;119.00;118
27;27;28;27.33;39;40;38;39.00;120.07;120
27;27;28;27.33;39;40;37;38.67;121.15;121
27;27;28;27.33;39;40;37;38.67;122.23;122
28;27;28;27.67;38;40;37;38.33;121.64;121
28;28;28;28.00;38;39;37;38.00;121.01;121
28;28;28;28.00;38;38;37;37.67;121.99;121
28;28;28;28.00;38;38;37;37.67;122.98;122
28;28;29;28.33;38;38;37;37.67;122.30;122
28;28;29;28.33;38;38;37;37.67;123.24;123
28;28;29;28.33;38;38;36;37.33;124.17;124
28;28;29;28.33;38;38;36;37.33;125.11;125
28;28;29;28.33;37;38;36;37.00;126.05;126
28;28;29;28.33;37;38;36;37.00;126.98;126
28;28;29;28.33;37;38;36;37.00;127.92;127
28;28;29;28.33;37;38;36;37.00;128.86;128
28;28;29;28.33;37;38;36;37.00;129.79;129
28;28;29;28.33;37;38;36;37.00;130.73;130
29;28;29;28.67;37;38;35;36.67;130.01;130
29;28;30;29.00;37;37;34;36.00;129.23;129
29;29;30;29.33;37;37;34;36.00;128.41;128
29;29;30;29.33;36;37;34;35.67;129.21;129
29;29;30;29.33;36;37;34;35.67;130.00;130
29;29;30;29.33;36;37;34;35.67;130.80;130
29;29;30;29.33;36;37;33;35.33;131.60;131
29;29;30;29.33;36;37;33;35.33;132.39;132
29;29;30;29.33;36;37;33;35.33;133.19;133
29;29;30;29.33;36;37;33;35.33;133.99;133
30;29;30;29.67;35;37;33;35.00;133.12;133
30;29;31;30.00;34;37;33;34.67;132.20;132
30;29;31;30.00;34;36;33;34.33;132.91;132
30;30;31;30.33;34;35;32;33.67;131.95;131
30;30;31;30.33;34;35;32;33.67;132.60;132
30;30;31;30.33;34;35;32;33.67;133.26;133
30;30;31;30.33;34;35;32;33.67;133.91;133
30;30;31;30.33;34;35;32;33.67;134.57;134
30;30;31;30.33;34;35;32;33.67;135.23;135
30;30;31;30.33;33;35;32;33.33;135.88;135
30;30;31;30.33;33;35;32;33.33;136.54;136
31;30;31;30.67;33;35;32;33.33;135.53;135
31;30;31;30.67;33;34;32;33.00;136.14;136
31;30;32;31.00;33;34;32;33.00;135.08;135
31;30;32;31.00;33;34;32;33.00;135.65;135
31;31;32;31.33;32;34;31;32.33;134.54;134
31;31;32;31.33;32;34;31;32.33;135.06;135
31;31;32;31.33;32;34;31;32.33;135.58;135
31;31;32;31.33;32;34;31;32.33;136.09;136
31;31;32;31.33;32;34;31;32.33;136.61;136
31;31;32;31.33;32;34;31;32.33;137.12;137
31;31;32;31.33;32;33;31;32.00;137.64;137
32;31;32;31.67;32;33;31;32.00;136.49;136
32;31;32;31.67;32;33;31;32.00;136.96;136
32;31;32;31.67;32;33;31;32.00;137.43;137
32;31;32;31.67;32;33;31;32.00;137.89;137
32;31;33;32.00;32;33;29;31.33;136.70;136
32;32;33;32.33;32;33;29;31.33;135.46;135
32;32;33;32.33;31;33;29;31.00;135.83;135
32;32;33;32.33;31;32;29;30.67;136.21;136
32;32;33;32.33;31;32;29;30.67;136.58;136
32;32;33;32.33;31;32;29;30.67;136.96;136
